-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			13	38		39	2.63158	22	9.59166	0.00118		39	2.63158	61	32.6956	0.043162		39	2.63158	22	9.59166	0.023234
			14	35		36	2.85714	19	8.42615	0.001142		36	2.85714	55	29.5127	0.050949		36	2.85714	19	8.42615	0.003596
			15	33		34	3.0303	25	11.8743	0.00117		34	3.0303	59	28.0179	0.082516		34	3.0303	25	11.8743	0.003658
			16	31		32	3.22581	27	11.2694	0.00118		32	3.22581	67	25.8263	0.021798		32	3.22581	27	11.2694	0.003566
			17	29		30	3.44828	25	9.21954	0.001178		30	3.44828	55	23.9374	0.029245		30	3.44828	25	9.21954	0.028036
			18	28		29	3.57143	37	21.9317	0.001601		29	3.57143	66	24.6577	0.009636		29	3.57143	37	21.9317	0.022774
			19	26		27	3.84615	28	9.69536	0.001261		27	3.84615	63	22.1133	0.043348		27	3.84615	28	9.69536	0.003368
			20	25		26	4	35	13.2288	0.001316		26	4	78	24.8193	0.071422		26	4	35	13.2288	0.00269
			21	24		25	4.16667	40	12.5698	0.001415		25	4.16667	73	22.0681	0.019048		25	4.16667	40	12.5698	0.002569
			22	23		24	4.34783	43	13.6748	0.001372		24	4.34783	75	22.2486	0.008994		24	4.34783	43	13.6748	0.002742
			23	22		23	4.54545	44	14.4222	0.001241		23	4.54545	75	21.2368	0.032604		23	4.54545	44	14.4222	0.002227
			24	21		22	4.7619	43	13.4536	0.001242		22	4.7619	82	21.4009	0.024479		22	4.7619	43	13.4536	0.002036
			25	20		22	10	43	13.4536	0.00166		22	10	87	21.5639	0.013055		22	10	43	13.4536	0.001995
			26	19		20	5.26316	35	10.3441	0.001234		20	5.26316	72	18.7617	0.041624		20	5.26316	35	10.3441	0.002035
			27	19		20	5.26316	35	10.3441	0.001686		20	5.26316	75	18.5203	0.025261		20	5.26316	35	10.3441	0.002064
			28	18		19	5.55556	47	14.8661	0.001292		19	5.55556	83	21.1424	0.02447		19	5.55556	47	14.8661	0.001645

LUTZ3.IN2   	89	3	548		549	0.182482	3	2.23607	0.000717		549	0.182482	552	537.139	0.501167		549	0.182482	3	2.23607	0.287556
			4	411		411	0	0	0	0.000372		411	0	423	393.42	0.428635		411	0	0	0	0.120589
			5	329		339	3.03951	51	42.6028	0.003933		339	3.03951	390	329.982	0.344265		339	3.03951	51	42.6028	0.071681
			6	275		278	1.09091	24	17.72	0.001776		278	1.09091	302	266.571	0.283344		278	1.09091	24	17.72	0.082455
			7	236		240	1.69492	36	20.6882	0.022832		240	1.69492	276	229.015	0.243032		240	1.69492	36	20.6882	0.054446
			8	207		211	1.93237	44	25.3772	0.032914		211	1.93237	255	200.801	0.220339		211	1.93237	44	25.3772	0.054599
			9	184		187	1.63043	39	16.8226	0.002325		187	1.63043	256	169.198	0.168871		187	1.63043	39	16.8226	0.074345
			10	165		173	4.84848	86	46.9468	0.00378		173	4.84848	259	168.122	0.174003		173	4.84848	86	46.9468	0.032841
			11	151		152	0.662252	28	11.5758	0.001559		156	3.31126	258	136.733	0.142363		156	3.31126	72	30.133	0.012602
			12	138		138	0	12	4.89898	0.00082		138	0	180	112.543	0.222747		138	0	12	4.89898	0.012974
			13	128		130	1.5625	46	21.587	0.002014		130	1.5625	206	106.151	0.145747		130	1.5625	46	21.587	0.024857
			14	118		123	4.23729	78	28.3549	0.003553		125	5.9322	243	120.246	0.13129		125	5.9322	106	47.3286	0.004568
			15	110		117	6.36364	111	64.2262	0.04605		117	6.36364	287	111.826	0.09391		117	6.36364	111	64.2262	0.010003
			16	105		110	4.7619	116	42.45	0.004919		110	4.7619	238	103.827	0.114374		110	4.7619	116	42.45	0.029561
			17	98		101	3.06122	73	23.5584	0.009475		101	3.06122	204	82.2679	0.098422		101	3.06122	73	23.5584	0.04616
			18	93		97	4.30108	102	36.7967	0.020974		97	4.30108	229	89.2356	0.091663		97	4.30108	102	36.7967	0.004219
			19	89		92	3.37079	104	48.6415	0.003253		92	3.37079	208	87.51	0.128748		92	3.37079	104	48.6415	0.020889
			20	85		90	5.88235	156	57.9483	0.003792		90	5.88235	246	97.6012	0.089192		90	5.88235	156	57.9483	0.027007
			21	80		87	8.75	183	54.3047	0.004406		87	8.75	282	88.9157	0.112974		87	8.75	183	54.3047	0.004129
			22	76		81	6.57895	138	39.6232	0.029246		81	6.57895	219	83.3487	0.081539		81	6.57895	138	39.6232	0.008443
			23	74		77	4.05405	127	40.1123	0.001804		77	4.05405	204	72.1942	0.09098		77	4.05405	127	40.1123	0.003837

MUKHERJE.IN2   	94	3	1403		1405	0.142552	7	6.08276	0.00359		1405	0.142552	1412	1352.09	2.09155		1405	0.142552	7	6.08276	1.15309
			4	1052		1053	0.095057	4	2.44949	0.00127		1053	0.095057	1057	1000.17	1.58262		1053	0.095057	4	2.44949	0.3657
			5	844		844	0	12	11.0454	0.002195		844	0	856	791.888	1.48664		844	0	12	11.0454	0.370372
			6	704		704	0	16	12.2474	0.002088		704	0	720	651.168	1.15734		704	0	16	12.2474	0.245373
			7	621		628	1.12721	188	147.024	0.044296		628	1.12721	816	591.567	1.0106		628	1.12721	188	147.024	0.206915
			8	532		539	1.31579	104	95.121	0.031426		539	1.31579	697	450.345	0.833056		539	1.31579	104	95.121	0.23296
			9	471		473	0.424628	49	30.6757	0.005102		473	0.424628	522	422.62	0.769535		473	0.424628	49	30.6757	0.195629
			10	424		424	0	32	15.748	0.002869		424	0	456	372.502	0.72184		424	0	32	15.748	0.170528
			11	391		394	0.767263	126	77.5758	0.042073		394	0.767263	520	350.22	0.652002		394	0.767263	126	77.5758	0.109241
			12	358		362	1.11732	136	92.0109	0.010967		362	1.11732	523	327.046	0.617251		362	1.11732	136	92.0109	0.154731
			13	325		327	0.615385	43	19.7231	0.003588		327	0.615385	370	233.024	0.609678		327	0.615385	43	19.7231	0.072727
			14	311		316	1.60772	216	150.519	0.018417		316	1.60772	532	291.692	0.528601		316	1.60772	216	150.519	0.014925
			15	288		293	1.73611	187	126.337	0.072879		293	1.73611	534	252.389	0.50621		293	1.73611	187	126.337	0.137069
			16	268		271	1.1194	128	61.7738	0.006001		271	1.1194	453	217.989	0.530933		271	1.1194	128	61.7738	0.070626
			17	251		258	2.78884	178	81.9756	0.02975		258	2.78884	436	221.088	0.45017		258	2.78884	178	81.9756	0.054242
			18	239		244	2.09205	184	80	0.027085		244	2.09205	428	207.581	0.445841		244	2.09205	184	80	0.029989
			19	226		238	5.30973	314	190.284	0.013381		238	5.30973	552	235.155	0.480461		238	5.30973	314	190.284	0.022879
			20	220		224	1.81818	272	173.286	0.037354		224	1.81818	496	230.365	0.416294		224	1.81818	272	173.286	0.104773
			21	208		211	1.44231	223	115.918	0.009858		211	1.44231	434	162.08	0.414461		211	1.44231	223	115.918	0.034338
			22	200		204	2	280	118.507	0.015522		207	3.5	553	188.072	0.374731		207	3.5	346	147.452	0.034875
			23	189		193	2.1164	231	99.955	0.050808		193	2.1164	424	151.493	0.340166		193	2.1164	231	99.955	0.043566
			24	179		182	1.67598	160	53.8145	0.012835		182	1.67598	396	135.787	0.391353		182	1.67598	160	53.8145	0.053166
			25	172		176	2.32558	192	69.7997	0.004268		176	2.32558	422	152.584	0.349703		176	2.32558	192	69.7997	0.052243
			26	171		171	0	238	80.025	0.000713		171	0	463	156.694	0.338636		171	0	238	80.025	0.030886

ARC111.IN2   	111	3	50133		50137	0.00797878	12	9.48683	0.00331		50137	0.00797878	50149	nan	95.267		50137	0.00797878	12	9.48683	49.8695
			4	37600		37684	0.223404	337	304.426	0.182445		37684	0.223404	38112	37525.6	73.7557		37684	0.223404	337	304.426	18.829
