-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			11	45		45	0	10	4.69042	0.000882		45	0	63	37.4833	0.032584		45	0	10	4.69042	0.008714
			12	41		42	2.43902	19	8.06226	0.001558		42	2.43902	61	35.2562	0.023981		42	2.43902	19	8.06226	0.005548
			13	38		39	2.63158	22	9.59166	0.0026		39	2.63158	61	32.6956	0.025096		39	2.63158	22	9.59166	0.006528
			14	35		36	2.85714	19	8.42615	0.001942		36	2.85714	55	29.5127	0.027671		36	2.85714	19	8.42615	0.007661
			15	33		34	3.0303	25	11.8743	0.002463		34	3.0303	59	28.0179	0.024919		34	3.0303	25	11.8743	0.00568
			16	31		32	3.22581	27	11.2694	0.002448		32	3.22581	67	25.8263	0.018144		32	3.22581	27	11.2694	0.006838
			17	29		30	3.44828	25	9.21954	0.00174		30	3.44828	55	23.9374	0.018945		30	3.44828	25	9.21954	0.004433
			18	28		29	3.57143	37	21.9317	0.003214		29	3.57143	66	24.6577	0.022089		29	3.57143	37	21.9317	0.004329
			19	26		27	3.84615	28	9.69536	0.002035		27	3.84615	63	22.1133	0.021774		27	3.84615	28	9.69536	0.004122
			20	25		26	4	35	13.2288	0.002403		26	4	78	24.8193	0.016834		26	4	35	13.2288	0.004975
			21	24		25	4.16667	40	12.5698	0.002687		25	4.16667	73	22.0681	0.018695		25	4.16667	40	12.5698	0.003178
			22	23		24	4.34783	43	13.6748	0.002304		24	4.34783	75	22.2486	0.016679		24	4.34783	43	13.6748	0.004209
			23	22		23	4.54545	44	14.4222	0.002526		23	4.54545	75	21.2368	0.015852		23	4.54545	44	14.4222	0.003421
			24	21		22	4.7619	43	13.4536	0.002002		22	4.7619	82	21.4009	0.015986		22	4.7619	43	13.4536	0.003965
			25	20		22	10	43	13.4536	0.002877		22	10	87	21.5639	0.014827		22	10	43	13.4536	0.004075
			26	19		20	5.26316	35	10.3441	0.002332		20	5.26316	72	18.7617	0.014094		20	5.26316	35	10.3441	0.00359
			27	19		20	5.26316	35	10.3441	0.006181		20	5.26316	75	18.5203	0.012566		20	5.26316	35	10.3441	0.003562
			28	18		19	5.55556	47	14.8661	0.002578		19	5.55556	83	21.1424	0.015173		19	5.55556	47	14.8661	0.003253

LUTZ3.IN2   	89	3	548		549	0.182482	3	2.23607	0.001452		549	0.182482	552	537.139	0.300287		549	0.182482	3	2.23607	0.154747
			4	411		411	0	0	0	0.000578		411	0	423	393.42	0.236802		411	0	0	0	0.058655
			5	329		339	3.03951	51	42.6028	0.005559		339	3.03951	390	329.982	0.18881		339	3.03951	51	42.6028	0.040545
			6	275		278	1.09091	24	17.72	0.003849		278	1.09091	302	266.571	0.157672		278	1.09091	24	17.72	0.042807
			7	236		240	1.69492	36	20.6882	0.004722		240	1.69492	276	229.015	0.140924		240	1.69492	36	20.6882	0.03413
			8	207		211	1.93237	44	25.3772	0.004873		211	1.93237	255	200.801	0.121762		211	1.93237	44	25.3772	0.030479
			9	184		187	1.63043	39	16.8226	0.006537		187	1.63043	256	169.198	0.11726		187	1.63043	39	16.8226	0.031152
			10	165		173	4.84848	86	46.9468	0.008103		173	4.84848	259	168.122	0.109153		173	4.84848	86	46.9468	0.021807
			11	151		152	0.662252	28	11.5758	0.003339		156	3.31126	258	136.733	0.101935		156	3.31126	72	30.133	0.02113
			12	138		138	0	12	4.89898	0.001307		138	0	180	112.543	0.104228		138	0	12	4.89898	0.012293
			13	128		130	1.5625	46	21.587	0.004488		130	1.5625	206	106.151	0.088851		130	1.5625	46	21.587	0.008734
			14	118		123	4.23729	78	28.3549	0.004931		125	5.9322	243	120.246	0.088435		125	5.9322	106	47.3286	0.008006
			15	110		117	6.36364	111	64.2262	0.006581		117	6.36364	287	111.826	0.075628		117	6.36364	111	64.2262	0.019472
			16	105		110	4.7619	116	42.45	0.006082		110	4.7619	238	103.827	0.07214		110	4.7619	116	42.45	0.016692
			17	98		101	3.06122	73	23.5584	0.004908		101	3.06122	204	82.2679	0.065044		101	3.06122	73	23.5584	0.017599
			18	93		97	4.30108	102	36.7967	0.004896		97	4.30108	229	89.2356	0.064543		97	4.30108	102	36.7967	0.007472
			19	89		92	3.37079	104	48.6415	0.003932		92	3.37079	208	87.51	0.060572		92	3.37079	104	48.6415	0.015662
			20	85		90	5.88235	156	57.9483	0.006458		90	5.88235	246	97.6012	0.055755		90	5.88235	156	57.9483	0.007596
			21	80		87	8.75	183	54.3047	0.007208		87	8.75	282	88.9157	0.055446		87	8.75	183	54.3047	0.007824
			22	76		81	6.57895	138	39.6232	0.007116		81	6.57895	219	83.3487	0.056666		81	6.57895	138	39.6232	0.01239
			23	74		77	4.05405	127	40.1123	0.003502		77	4.05405	204	72.1942	0.054133		77	4.05405	127	40.1123	0.005217

MUKHERJE.IN2   	94	3	1403		1405	0.142552	7	6.08276	0.00403		1405	0.142552	1412	1352.09	1.27361		1405	0.142552	7	6.08276	0.58368
			4	1052		1053	0.095057	4	2.44949	0.001451		1053	0.095057	1057	1000.17	0.905241		1053	0.095057	4	2.44949	0.227749
			5	844		844	0	12	11.0454	0.004293		844	0	856	791.888	0.899829		844	0	12	11.0454	0.261809
			6	704		704	0	16	12.2474	0.003506		704	0	720	651.168	0.823203		704	0	16	12.2474	0.208892
			7	621		628	1.12721	188	147.024	0.029064		628	1.12721	816	591.567	0.545124		628	1.12721	188	147.024	0.114844
			8	532		539	1.31579	104	95.121	0.01305		539	1.31579	697	450.345	0.468576		539	1.31579	104	95.121	0.146025
			9	471		473	0.424628	49	30.6757	0.00635		473	0.424628	522	422.62	0.493185		473	0.424628	49	30.6757	0.153978
