-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			11	45		46	2.22222	21	9.11043	0.001054		46	2.22222	76	40.5216	0.070154		46	2.22222	21	9.11043	0.003899
			12	41		42	2.43902	19	6.55744	0.001143		42	2.43902	70	35.8887	0.050609		42	2.43902	19	6.55744	0.003609
			13	38		40	5.26316	35	17.8606	0.001489		40	5.26316	75	33.9559	0.012306		40	5.26316	35	17.8606	0.002879
			14	35		37	5.71429	33	15.7162	0.001494		37	5.71429	70	30.7246	0.089267		37	5.71429	33	15.7162	0.002961
			15	33		35	6.06061	40	15.1658	0.00151		35	6.06061	75	30.6757	0.033673		35	6.06061	40	15.1658	0.002664
			16	31		33	6.45161	43	14.5258	0.001718		33	6.45161	76	28.178	0.039863		33	6.45161	43	14.5258	0.02177
			17	29		30	3.44828	25	10.7238	0.001118		30	3.44828	64	25.2587	0.023507		30	3.44828	25	10.7238	0.02122
			18	28		28	0	19	11.3578	0.001133		28	0	82	28.9482	0.020388		28	0	19	11.3578	0.002648
			19	26		28	7.69231	19	11.3578	0.00158		28	7.69231	84	26.4197	0.02271		28	7.69231	19	11.3578	0.001897
			20	25		27	8	55	17	0.001591		27	8	82	25.1396	0.020646		27	8	55	17	0.002587
			21	24		25	4.16667	40	12.8062	0.001202		25	4.16667	82	24.6982	0.029527		25	4.16667	40	12.8062	0.002387
			22	23		24	4.34783	43	13.3791	0.001217		24	4.34783	84	23.1948	0.040812		24	4.34783	43	13.3791	0.002472
			23	22		24	9.09091	43	13.3791	0.001624		24	9.09091	91	23.5584	0.025677		24	9.09091	43	13.3791	0.001991
			24	21		22	4.7619	43	16.7033	0.001556		22	4.7619	82	22.5832	0.009883		22	4.7619	43	16.7033	0.001998
			25	20		22	10	43	16.7033	0.001716		22	10	87	22.4277	0.022403		22	10	43	16.7033	0.002009
			26	19		21	10.5263	61	18.8414	0.001732		21	10.5263	91	21.7945	0.055765		21	10.5263	61	18.8414	0.002626
			27	19		20	5.26316	55	13.6015	0.002113		20	5.26316	84	20.5426	0.047736		20	5.26316	55	13.6015	0.002369
			28	18		19	5.55556	47	12.8452	0.002715		19	5.55556	101	24.0624	0.012308		19	5.55556	47	12.8452	0.002003

LUTZ3.IN2   	89	3	548		562	2.55474	42	41.0122	0.004737		562	2.55474	634	537.254	0.483837		562	2.55474	42	41.0122	0.26971
			4	411		418	1.70316	28	18.8149	0.002538		418	1.70316	446	400.847	0.392256		418	1.70316	28	18.8149	0.104678
			5	329		339	3.03951	51	39.2301	0.003744		339	3.03951	390	323.314	0.318984		339	3.03951	51	39.2301	0.065477
			6	275		286	4	72	44.833	0.041372		286	4	358	274.853	0.253435		286	4	72	44.833	0.059802
			7	236		240	1.69492	36	20.9762	0.002325		240	1.69492	306	219.945	0.229043		240	1.69492	36	20.9762	0.060246
			8	207		217	4.83092	92	45.8258	0.028058		217	4.83092	309	204.717	0.199547		217	4.83092	92	45.8258	0.036433
			9	184		191	3.80435	75	38.092	0.045978		191	3.80435	296	175.083	0.187234		191	3.80435	75	38.092	0.036051
			10	165		173	4.84848	86	39.8748	0.004298		173	4.84848	259	160.838	0.150376		173	4.84848	86	39.8748	0.062956
			11	151		158	4.63576	94	49.1121	0.032164		166	9.93377	348	168.125	0.137711		166	9.93377	182	77.8974	0.025226
			12	138		147	6.52174	120	62.4179	0.003829		147	6.52174	267	144.274	0.109971		147	6.52174	120	62.4179	0.009748
			13	128		133	3.90625	85	31.3528	0.002852		133	3.90625	218	120.457	0.127199		133	3.90625	85	31.3528	0.047391
			14	118		128	8.47458	148	54.4977	0.004782		128	8.47458	276	122.841	0.118549		128	8.47458	148	54.4977	0.005443
			15	110		121	10	171	105.418	0.028866		121	10	322	122.817	0.092954		121	10	171	105.418	0.029555
			16	105		112	6.66667	148	50.5569	0.004264		112	6.66667	260	108.692	0.108455		112	6.66667	148	50.5569	0.015871
			17	98		106	8.16327	158	81.2527	0.004314		106	8.16327	294	106.499	0.163265		106	8.16327	158	81.2527	0.0061
			18	93		102	9.67742	192	64.8074	0.00453		102	9.67742	312	115.169	0.110328		102	9.67742	192	64.8074	0.020131
