-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			13	128		130	1.5625	46	18	0.001727		136	6.25	278	135.765	0.106378		136	6.25	124	54.1295	0.041269
			14	118		128	8.47458	148	55.6237	0.019209		128	8.47458	276	126.602	0.088535		128	8.47458	148	55.6237	0.003392
			15	110		117	6.36364	111	43.5086	0.004041		117	6.36364	318	127.216	0.125685		117	6.36364	111	43.5086	0.008302
			16	105		111	5.71429	132	44.6318	0.003509		111	5.71429	261	111.467	0.090348		111	5.71429	132	44.6318	0.017679
			17	98		106	8.16327	158	69.1086	0.003737		106	8.16327	294	110.932	0.121157		106	8.16327	158	69.1086	0.006474
			18	93		103	10.7527	210	73.2666	0.00506		103	10.7527	331	118.916	0.085207		103	10.7527	210	73.2666	0.046426
			19	89		100	12.3596	256	80.6598	0.006013		100	12.3596	386	116.936	0.077855		100	12.3596	256	80.6598	0.004014
			20	85		92	8.23529	196	58.8727	0.003941		92	8.23529	347	97.0721	0.084937		92	8.23529	196	58.8727	0.006172
			21	80		90	12.5	246	66.9179	0.021648		90	12.5	336	99.8098	0.078672		90	12.5	246	66.9179	0.002707
			22	76		88	15.7895	292	92.9516	0.030542		88	15.7895	380	108.065	0.04666		88	15.7895	292	92.9516	0.003041
			23	74		82	10.8108	242	68.5274	0.032619		82	10.8108	354	100.06	0.085088		82	10.8108	242	68.5274	0.004588

MUKHERJE.IN2   	94	3	1403		1405	0.142552	7	5.38516	0.0204		1405	0.142552	1412	1352.09	2.14084		1405	0.142552	7	5.38516	1.07613
			4	1052		1055	0.285171	12	8.94427	0.002156		1055	0.285171	1067	1002.3	1.74362		1055	0.285171	12	8.94427	0.407428
			5	844		844	0	12	9.27362	0.002414		844	0	856	744.361	1.42059		844	0	12	9.27362	0.376797
			6	704		705	0.142045	22	14.2127	0.003038		705	0.142045	727	653.736	1.15339		705	0.142045	22	14.2127	0.372989
			7	621		627	0.966184	181	145.661	0.038314		627	0.966184	808	590.051	1.05961		627	0.966184	181	145.661	0.214504
			8	532		536	0.75188	80	56.5862	0.007858		536	0.75188	616	451.127	0.898909		536	0.75188	80	56.5862	0.272367
			9	471		474	0.636943	58	33.0454	0.005046		474	0.636943	532	423.726	0.869716		474	0.636943	58	33.0454	0.244215
			10	424		424	0	32	19.9499	0.002958		424	0	456	372.567	0.779871		424	0	32	19.9499	0.245793
