-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

								Lower Bound					Upper Bound					Binary Search
						---------------------------------------------		---------------------------------------------		---------------------------------------------
Problem		n	m	c*		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)		c	%dev	BD	SX	CPU(time)
			14	35		38	8.57143	47	16.2788	0.019787		38	8.57143	102	37.8682	0.015466		38	8.57143	47	16.2788	0.001695
			15	33		36	9.09091	55	19.6214	0.001887		36	9.09091	91	32.665	0.024598		36	9.09091	55	19.6214	0.002606
			16	31		33	6.45161	43	14.5945	0.001439		33	6.45161	85	31.1288	0.058549		33	6.45161	43	14.5945	0.022635
			17	29		31	6.89655	42	13.8564	0.001421		31	6.89655	73	26.1343	0.024976		31	6.89655	42	13.8564	0.02371
			18	28		30	7.14286	55	23.5584	0.024042		30	7.14286	85	28.0535	0.042789		30	7.14286	55	23.5584	0.003695
			19	26		29	11.5385	66	25.219	0.001861		29	11.5385	104	30.4959	0.035041		29	11.5385	66	25.219	0.002444
			20	25		27	8	55	16.6433	0.001655		27	8	91	27.2947	0.032194		27	8	55	16.6433	0.002688
			21	24		26	8.33333	61	18.4662	0.001466		26	8.33333	96	27.2029	0.022911		26	8.33333	61	18.4662	0.001831
			22	23		25	8.69565	65	18.5742	0.001474		25	8.69565	120	30.8869	0.010943		25	8.69565	65	18.5742	0.025226
			23	22		25	13.6364	65	18.5742	0.002011		25	13.6364	124	29.8664	0.006858		24	9.09091	91	21.4709	0.026386
			24	21		24	14.2857	91	21.4709	0.012287		24	14.2857	115	28.1603	0.009122		23	9.52381	90	24.2487	0.002301
			25	20		22	10	65	15.3297	0.001512		22	10	87	21.9773	0.054924		22	10	65	15.3297	0.002077
			26	19		21	10.5263	61	18.303	0.001608		21	10.5263	91	22.4277	0.01129		21	10.5263	61	18.303	0.002143
			27	19		20	5.26316	55	14.5945	0.001574		20	5.26316	92	22.4944	0.04406		20	5.26316	55	14.5945	0.006245
			28	18		20	11.1111	55	14.5945	0.001564		20	11.1111	95	21.9773	0.015817		19	5.55556	66	17.9444	0.001563

LUTZ3.IN2   	89	3	548		549	0.182482	3	2.23607	0.000614		549	0.182482	552	531.174	0.497933		549	0.182482	3	2.23607	0.260123
			4	411		419	1.94647	32	23.4947	0.035098		419	1.94647	451	402.091	0.324837		419	1.94647	32	23.4947	0.13995
			5	329		341	3.64742	61	45.111	0.004532		341	3.64742	420	334.174	0.304824		341	3.64742	61	45.111	0.071921
			6	275		279	1.45455	30	14.2127	0.002013		279	1.45455	309	262.578	0.292083		279	1.45455	30	14.2127	0.031403
			7	236		244	3.38983	64	32.1248	0.009539		244	3.38983	308	228.98	0.299268		244	3.38983	64	32.1248	0.058769
			8	207		213	2.89855	60	31.1127	0.002988		213	2.89855	273	197.719	0.212753		213	2.89855	60	31.1127	0.057346
			9	184		189	2.71739	57	24.6779	0.002749		189	2.71739	264	180.787	0.167758		189	2.71739	57	24.6779	0.035051
